regione,popolazione,eta,eta_class,eta_class2
Lazio,53789,19,"[10,20)",16-19
Abruzzo,12059,19,"[10,20)",16-19
Molise,2867,19,"[10,20)",16-19
Campania,67244,19,"[10,20)",16-19
Puglia,43127,19,"[10,20)",16-19
Basilicata,5748,19,"[10,20)",16-19
Calabria,20067,19,"[10,20)",16-19
Sicilia,53999,19,"[10,20)",16-19
Sardegna,14441,19,"[10,20)",16-19
Piemonte,39254,20,"[20,30)",20-29
Liguria,13138,20,"[20,30)",20-29
Lombardia,95790,20,"[20,30)",20-29
P.A. Trento,5724,20,"[20,30)",20-29
Valle d'Aosta,1192,20,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11780,20,"[20,30)",20-29
P.A. Bolzano,6056,20,"[20,30)",20-29
Veneto,47264,20,"[20,30)",20-29
Friuli Venezia Giulia,10586,20,"[20,30)",20-29
Emilia-Romagna,40128,20,"[20,30)",20-29
Toscana,32503,20,"[20,30)",20-29
Umbria,7818,20,"[20,30)",20-29
Marche,14235,20,"[20,30)",20-29
Lazio,53247,20,"[20,30)",20-29
Abruzzo,12025,20,"[20,30)",20-29
Molise,2965,20,"[20,30)",20-29
Campania,67525,20,"[20,30)",20-29
Puglia,43140,20,"[20,30)",20-29
Basilicata,5775,20,"[20,30)",20-29
Calabria,20051,20,"[20,30)",20-29
Sicilia,54663,20,"[20,30)",20-29
Sardegna,14379,20,"[20,30)",20-29
Piemonte,40093,21,"[20,30)",20-29
Valle d'Aosta,1201,21,"[20,30)",20-29
Liguria,13388,21,"[20,30)",20-29
Lombardia,96608,21,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11928,21,"[20,30)",20-29
P.A. Bolzano,6132,21,"[20,30)",20-29
P.A. Trento,5796,21,"[20,30)",20-29
Veneto,48008,21,"[20,30)",20-29
Friuli Venezia Giulia,10721,21,"[20,30)",20-29
Emilia-Romagna,40470,21,"[20,30)",20-29
Toscana,33274,21,"[20,30)",20-29
Umbria,7913,21,"[20,30)",20-29
Marche,14575,21,"[20,30)",20-29
Lazio,54323,21,"[20,30)",20-29
Abruzzo,12419,21,"[20,30)",20-29
Molise,3142,21,"[20,30)",20-29
Campania,67752,21,"[20,30)",20-29
Puglia,43153,21,"[20,30)",20-29
Basilicata,5775,21,"[20,30)",20-29
Calabria,20443,21,"[20,30)",20-29
Sicilia,53718,21,"[20,30)",20-29
Sardegna,14113,21,"[20,30)",20-29
Piemonte,39914,22,"[20,30)",20-29
Valle d'Aosta,1132,22,"[20,30)",20-29
Liguria,13335,22,"[20,30)",20-29
Lombardia,96156,22,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11914,22,"[20,30)",20-29
P.A. Trento,5674,22,"[20,30)",20-29
Veneto,48016,22,"[20,30)",20-29
Friuli Venezia Giulia,10576,22,"[20,30)",20-29
Emilia-Romagna,40493,22,"[20,30)",20-29
Umbria,7868,22,"[20,30)",20-29
Marche,14413,22,"[20,30)",20-29
Sicilia,53774,22,"[20,30)",20-29
Sardegna,14226,22,"[20,30)",20-29
P.A. Bolzano,6240,22,"[20,30)",20-29
Toscana,33054,22,"[20,30)",20-29
Lazio,54205,22,"[20,30)",20-29
Abruzzo,12361,22,"[20,30)",20-29
Molise,3076,22,"[20,30)",20-29
Campania,67634,22,"[20,30)",20-29
Puglia,43025,22,"[20,30)",20-29
Basilicata,5792,22,"[20,30)",20-29
Calabria,20035,22,"[20,30)",20-29
Sicilia,54051,23,"[20,30)",20-29
Sardegna,14499,23,"[20,30)",20-29
Piemonte,39449,23,"[20,30)",20-29
Valle d'Aosta,1216,23,"[20,30)",20-29
Liguria,13646,23,"[20,30)",20-29
Lombardia,95693,23,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11881,23,"[20,30)",20-29
P.A. Bolzano,6155,23,"[20,30)",20-29
P.A. Trento,5726,23,"[20,30)",20-29
Veneto,47568,23,"[20,30)",20-29
Friuli Venezia Giulia,10874,23,"[20,30)",20-29
Emilia-Romagna,40409,23,"[20,30)",20-29
Toscana,33080,23,"[20,30)",20-29
Umbria,7916,23,"[20,30)",20-29
Marche,14273,23,"[20,30)",20-29
Lazio,54762,23,"[20,30)",20-29
Abruzzo,12600,23,"[20,30)",20-29
Molise,3077,23,"[20,30)",20-29
Campania,68154,23,"[20,30)",20-29
Puglia,43236,23,"[20,30)",20-29
Basilicata,5865,23,"[20,30)",20-29
Calabria,20533,23,"[20,30)",20-29
Piemonte,39408,24,"[20,30)",20-29
Valle d'Aosta,1154,24,"[20,30)",20-29
Liguria,13267,24,"[20,30)",20-29
Lombardia,94989,24,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11603,24,"[20,30)",20-29
P.A. Bolzano,5941,24,"[20,30)",20-29
P.A. Trento,5662,24,"[20,30)",20-29
Veneto,46906,24,"[20,30)",20-29
Friuli Venezia Giulia,10567,24,"[20,30)",20-29
Emilia-Romagna,40357,24,"[20,30)",20-29
Toscana,32794,24,"[20,30)",20-29
Umbria,7907,24,"[20,30)",20-29
Marche,14428,24,"[20,30)",20-29
Lazio,55343,24,"[20,30)",20-29
Abruzzo,12479,24,"[20,30)",20-29
Molise,3140,24,"[20,30)",20-29
Campania,68102,24,"[20,30)",20-29
Puglia,43064,24,"[20,30)",20-29
Basilicata,5933,24,"[20,30)",20-29
Calabria,20884,24,"[20,30)",20-29
Sicilia,54442,24,"[20,30)",20-29
Sardegna,14865,24,"[20,30)",20-29
Piemonte,39827,25,"[20,30)",20-29
Valle d'Aosta,1142,25,"[20,30)",20-29
Liguria,13350,25,"[20,30)",20-29
Lombardia,96291,25,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11773,25,"[20,30)",20-29
P.A. Bolzano,6094,25,"[20,30)",20-29
P.A. Trento,5679,25,"[20,30)",20-29
Veneto,47084,25,"[20,30)",20-29
Friuli Venezia Giulia,10592,25,"[20,30)",20-29
Emilia-Romagna,41222,25,"[20,30)",20-29
Toscana,33081,25,"[20,30)",20-29
Umbria,7948,25,"[20,30)",20-29
Marche,14308,25,"[20,30)",20-29
Lazio,55827,25,"[20,30)",20-29
Abruzzo,12992,25,"[20,30)",20-29
Molise,3240,25,"[20,30)",20-29
Campania,68758,25,"[20,30)",20-29
Puglia,43266,25,"[20,30)",20-29
Basilicata,6063,25,"[20,30)",20-29
